id;nome_clinica;agencia;cpf_cnpj;crmv;email_contato;contato_principal;complemento_endereco;rua;bairro;cidade;telefone_fixo;email_secundario;estado;cep;tipo_pessoa;;numero_conta;numero_endereco;tipo;updated_at;banco;celular
198;PONTOCAO.BR CLINICA VETERINARIA LTDA;PONTOCAO;10.748.294/0001-98;0;pontocao@hotmail.com;;;;;;(21) 2419-6353;;;;PJ;10/1/2017 00:00;;;;;;
182;PRAIA DOS BICHOS CLINICA VETERINARIA;;15.762.082/0001-89;0;0;;;;;;(21) 2496-1464;;;;PJ;20/12/2016 00:00;;;;;;
137;RAÇOES DA BARRA;;05.865.882/0001-71;0;racoes_barra_sol@hotmail.com;;;DO SOL;BARRA DO JUCU;VILA VELHA;2732444789;;ES;29125-033;PJ;10/11/2016 00:00;;;;;;
24;ROBERTA MARIANO DESTEFANI PET SHOP - ME MAGIC DOG;;19.049.226/0001-05;0;robertamarianodestefany@gmail.com;;;BENEDITO CORREIA PENHA;ARIBIRI;VILA VELHA;2732197321;;ES;29120-311;PJ;19/7/2016 00:00;;;;;;
68;SIMULACAO DE PRESTADOR LIFEPET;;24.182.182/0001-27;0;simulacao@lifepet.com.br;;;SENADOR MILTON CAMPOS;CENTRO;VITORIA;;;ES;29010-010;PJ;1/6/2016 00:00;;;;;;
129;TALLANA ROZA VENEZIA - LOLLA PET STORE;;20.438.614/0001-67;0;0;;;;;;;;;;PJ;9/11/2016 00:00;;;;;;
16;THATIANA MARQUES SOUZA-PES E PATAS;;22.046.383/0001-71;0;amaury.bn67@gmail.com;;;RAUL DE LEONI;PARQUE RESIDENCIAL LARANJEIRAS;SERRA;2730667547;;ES;29165-300;PJ;3/3/2016 00:00;;;;;;
150;URBANOS PET PETSHOP;;24.876.292/0001-99;0;urbanospet@gmail.com;;;;;;;;;;PJ;10/11/2016 00:00;;;;;;
128;VETERINARIA GUARAPARI LTDA -ME;;22.066.311/0001-96;0;0;;;;;;;;;;PJ;9/11/2016 00:00;21/2/2017 00:00;;;;;
21;VETERINÁRIA GUARAPARI LTDA ME;;22.066.311/0001-96;0;dr.leandro.medvet@gmail.com;;;HEITOR LUGON;MUQUICABA;GUARAPARI;2731141312;;ES;29215-150;PJ;18/7/2016 00:00;;;;;;
219;VITALVET CLÍNICA VETERINÁRIA LTDA - EPP;VITALVET;24.408.447/0001-62;0;vitalvetcampos@gmail.com;;;;;;(22)27222158;;;;PJ;12/4/2017 00:00;;;;;;
